"","x"
"adjust",18
"cancel",18
"central",18
"constraint",18
"corpor",18
"counterpart",18
"defin",18
"expertis",18
"follow",18
"full",18
"nam",18
"rigor",18
"show",18
"site",18
"size",18
"sound",18
"subsequ",18
"tariff",18
"viet",18
"avail",17
"awar",17
"basic",17
"depend",17
"deriv",17
"firm",17
"generat",17
"guarante",17
"incorpor",17
"minim",17
"presid",17
"price",17
"proceed",17
"progress",17
"readi",17
"republ",17
"rrp",17
"urban",17
"abil",16
"capit",16
"cooper",16
"correct",16
"crucial",16
"driven",16
"longer",16
"member",16
"million",16
"nongovern",16
"observ",16
"opportun",16
"parti",16
"reconstruct",16
"reduct",16
"research",16
"schedul",16
"undertak",16
"allow",15
"baselin",15
"carri",15
"compens",15
"creat",15
"decentr",15
"drew",15
"economi",15
"equip",15
"inadequ",15
"post",15
"preparatori",15
"purpos",15
"put",15
"reason",15
"releas",15
"safeguard",15
"save",15
"singl",15
"survey",15
"track",15
"villag",15
"ambiti",14
"appar",14
"broad",14
"caus",14
"cluster",14
"core",14
"dmf",14
"extern",14
"intend",14
"led",14
"qualifi",14
"regular",14
"reinforc",14
"secur",14
"special",14
"user",14
"align",13
"applic",13
"board",13
"committe",13
"complianc",13
"comprehens",13
"criteria",13
"disburs",13
"emphas",13
"experienc",13
"farm",13
"function",13
"hand",13
"irrig",13
"labor",13
"legal",13
"multipl",13
"pay",13
"pertain",13
"prioriti",13
"question",13
"reflect",13
"serv",13
"side",13
"smooth",13
"substanti",13
"teacher",13
"agenda",12
"aid",12
"anticip",12
"asset",12
"cite",12
"collabor",12
"conting",12
"custom",12
"donor",12
"end",12
"enforc",12
"failur",12
"final",12
"fiscal",12
"frame",12
"guidelin",12
"human",12
"insuffici",12
"livelihood",12
"payment",12
"pilot",12
"product",12
"protect",12
"regard",12
"sequenc",12
"sme",12
"step",12
"suitabl",12
"summar",12
"team",12
"trade",12
"transit",12
"appear",11
"assumpt",11
"broader",11
"china",11
"combin",11
"compet",11
"constrain",11
"deal",11
"deliv",11
"disast",11
"electr",11
"energi",11
"equiti",11
"field",11
"geograph",11
"inher",11
"innov",11
"lead",11
"midterm",11
"month",11
"orient",11
"origin",11
"pakistan",11
"para",11
"prevent",11
"realiz",11
"recogn",11
"refer",11
"remain",11
"smes",11
"task",11
"theme",11
"viabl",11
"wide",11
"accompani",10
"altern",10
"award",10
"back",10
"circumst",10
"closer",10
"conserv",10
"desir",10
"empower",10
"expenditur",10
"expressway",10
"extent",10
"familiar",10
"fee",10
"flow",10
"gender",10
"ground",10
"guidanc",10
"india",10
"intermediari",10
"joint",10
"knowledg",10
"method",10
"negat",10
"participatori",10
"person",10
"philippin",10
"pre",10
"principl",10
"prsc",10
"reach",10
"scale",10
"simpl",10
"traffic",10
"transport",10
"uzbekistan",10
"ventur",10
"viabil",10
"advantag",9
"amount",9
"appropri",9
"begin",9
"behavior",9
"bring",9
"budgetari",9
"cash",9
"challeng",9
"connect",9
"consensus",9
"consist",9
"crosscut",9
"deleg",9
"depth",9
"earlier",9
"endors",9
"exit",9
"expedit",9
"foreign",9
"gain",9
"grant",9
"higher",9
"intens",9
"lao",9
"likewis",9
"lower",9
"mandat",9
"maxim",9
"mean",9
"move",9
"network",9
"option",9
"packag",9
"pdr",9
"personnel",9
"prc",9
"prefer",9
"prove",9
"proven",9
"pursu",9
"resolv",9
"revenu",9
"revis",9
"share",9
"socioeconom",9
"strateg",9
"strict",9
"tend",9
"test",9
"transfer",9
"transpar",9
"upfront",9
"absenc",8
"appreci",8
"associ",8
"assur",8
"citi",8
"compli",8
"deliveri",8
"distribut",8
"expand",8
"explain",8
"face",8
"foster",8
"gas",8
"highway",8
"hold",8
"identif",8
"immedi",8
"instal",8
"intermedi",8
"lanka",8
"match",8
"mfis",8
"minor",8
"multisector",8
"occur",8
"ongo",8
"outlin",8
"outset",8
"over",8
"pace",8
"pass",8
"play",8
"popul",8
"possibl",8
"project",8
"recognit",8
"resist",8
"solut",8
"sri",8
"staf",8
"statement",8
"stronger",8
"subcompon",8
"subprogram",8
"systemat",8
"tradit",8
"transmiss",8
"vis",8
"women",8
"advisori",7
"afford",7
"afghanistan",7
"appoint",7
"attempt",7
"brought",7
"built",7
"candid",7
"charg",7
"clariti",7
"collaps",7
"confirm",7
"date",7
"debt",7
"deploy",7
"element",7
"emphasi",7
"employ",7
"encount",7
"encourag",7
"engin",7
"envisag",7
"evid",7
"examin",7
"formal",7
"frequent",7
"give",7
"goal",7
"growth",7
"guid",7
"happen",7
"inclus",7
"individu",7
"indonesia",7
"influenc",7
"item",7
"larger",7
"leadership",7
"lgus",7
"materi",7
"meaning",7
"pacif",7
"pcbs",7
"physic",7
"pmo",7
"pmu",7
"prompt",7
"provinc",7
"railway",7
"relationship",7
"repay",7
"repoert",7
"respect",7
"restructur",7
"right",7
"rule",7
"safeti",7
"spread",7
"supervisori",7
"treatment",7
"ultim",7
"variat",7
"willing",7
"act",6
"adapt",6
"advers",6
"anim",6
"balanc",6
"bpkp",6
"buy",6
"call",6
"commiss",6
"complementari",6
"deeper",6
"draw",6
"easier",6
"enact",6
"entir",6
"exercis",6
"explor",6
"fail",6
"fisheri",6
"forecast",6
"forest",6
"form",6
"forward",6
"global",6
"grow",6
"guinea",6
"instanc",6
"instrument",6
"insur",6
"interag",6
"introduct",6
"island",6
"kyrgyz",6
"left",6
"liabil",6
"loess",6
"maker",6
"map",6
"matter",6
"merit",6
"model",6
"modern",6
"municip",6
"numer",6
"offici",6
"operation",6
"organiz",6
"oversight",6
"papua",6
"paramet",6
"past",6
"preced",6
"preliminari",6
"prevail",6
"previous",6
"primari",6
"proactiv",6
"psc",6
"quick",6
"rang",6
"rapid",6
"redesign",6
"relianc",6
"repeat",6
"replic",6
"respond",6
"revolv",6
"seek",6
"sens",6
"shift",6
"slow",6
"smaller",6
"specialist",6
"student",6
"timelin",6
"unfamiliar",6
"vulner",6
"world",6
"wua",6
"accommod",5
"accomplish",5
"accord",5
"adher",5
"ascertain",5
"assign",5
"assum",5
"attract",5
"audit",5
"avert",5
"bangladesh",5
"bodi",5
"burden",5
"calcul",5
"cambodia",5
"center",5
"champion",5
"chanc",5
"choic",5
"clearanc",5
"client",5
"cofinanc",5
"collater",5
"commenc",5
"common",5
"compar",5
"confus",5
"constant",5
"coverag",5
"currenc",5
"curriculum",5
"deposit",5
"devolv",5
"director",5
"diversif",5
"dmc",5
"earthquak",5
"elabor",5
"entiti",5
"ethnic",5
"event",5
"excess",5
"exchang",5
"expert",5
"flood",5
"found",5
"fourth",5
"fundament",5
"gave",5
"geolog",5
"gradual",5
"harmon",5
"hinder",5
"idea",5
"inappropri",5
"ineffect",5
"interlink",5
"job",5
"length",5
"light",5
"likelihood",5
"logic",5
"mainstream",5
"mekong",5
"memorandum",5
"mongolia",5
"motiv",5
"negoti",5
"nonetheless",5
"normal",5
"oblig",5
"obtain",5
"open",5
"order",5
"passag",5
"plant",5
"player",5
"poorest",5
"ppms",5
"produc",5
"profession",5
"prospect",5
"punjab",5
"push",5
"pvr",5
"qualif",5
"receiv",5
"record",5
"regim",5
"reorgan",5
"reserv",5
"resolut",5
"restor",5
"return",5
"robust",5
"salari",5
"secondari",5
"sharehold",5
"sought",5
"spend",5
"steer",5
"streamlin",5
"strength",5
"subject",5
"tax",5
"total",5
"trust",5
"updat",5
"upgrad",5
"use",5
"vital",5
"wastewat",5
"way",5
"yield",5
"absorpt",4
"advisor",4
"airport",4
"analyz",4
"anchor",4
"apb",4
"attach",4
"attribut",4
"bme",4
"bond",4
"bridg",4
"campaign",4
"captur",4
"cbos",4
"climat",4
"coastal",4
"complic",4
"compris",4
"concentr",4
"confid",4
"consequ",4
"constitut",4
"contain",4
"contractu",4
"cultur",4
"current",4
"danida",4
"definit",4
"degre",4
"differ",4
"discourag",4
"disput",4
"doc",4
"doubt",4
"easi",4
"ensu",4
"esrp",4
"essenc",4
"expans",4
"expens",4
"explicit",4
"extrem",4
"fast",4
"featur",4
"food",4
"foundat",4
"fujian",4
"genuin",4
"handl",4
"hdmf",4
"hef",4
"hiv",4
"ict",4
"implic",4
"imprest",4
"inexperienc",4
"insist",4
"institution",4
"instruct",4
"interrel",4
"kind",4
"late",4
"layer",4
"leader",4
"leav",4
"leverag",4
"lgfbr",4
"lgu",4
"life",4
"linkag",4
"load",4
"loss",4
"manner",4
"maximum",4
"mention",4
"met",4
"miss",4
"mix",4
"money",4
"oppos",4
"optimist",4
"outreach",4
"own",4
"paper",4
"parallel",4
"partial",4
"pcrs",4
"pertin",4
"piu",4
"png",4
"pnrm",4
"portfolio",4
"pressur",4
"pro",4
"profit",4
"prudent",4
"ration",4
"real",4
"recent",4
"recipi",4
"reevalu",4
"reiter",4
"reli",4
"relief",4
"repres",4
"request",4
"restrict",4
"retain",4
"rice",4
"river",4
"screen",4
"scrutin",4
"scrutini",4
"senior",4
"sever",4
"softwar",4
"speed",4
"srf",4
"stipul",4
"stress",4
"subsidi",4
"succeed",4
"tajikistan",4
"toll",4
"top",4
"transact",4
"treat",4
"trigger",4
"unabl",4
"uncertainti",4
"unctad",4
"unexpect",4
"vbard",4
"vehicl",4
"verif",4
"verifi",4
"welfar",4
"wider",4
"withdraw",4
"acknowledg",3
"administ",3
"advis",3
"agent",3
"aib",3
"alb",3
"allevi",3
"analyt",3
"aros",3
"attain",3
"autom",3
"averag",3
"avian",3
"axl",3
"balochistan",3
"bankabl",3
"basin",3
"bear",3
"benchmark",3
"bhutan",3
"border",3
"bottom",3
"bound",3
"cautious",3
"cba",3
"certif",3
"check",3
"chittagong",3
"claim",3
"clarifi",3
"closur",3
"cogniz",3
"cohes",3
"comment",3
"compat",3
"complement",3
"conceptu",3
"conclud",3
"concret",3
"concurr",3
"conduit",3
"confin",3
"conjunct",3
"consum",3
"craft",3
"creation",3
"credibl",3
"cut",3
"danger",3
"day",3
"dealt",3
"declin",3
"dedic",3
"defer",3
"defici",3
"degrad",3
"depositori",3
"devot",3
"disagr",3
"diseas",3
"dissemin",3
"divers",3
"divis",3
"durat",3
"eal",3
"earthwork",3
"easili",3
"electrif",3
"elig",3
"employe",3
"enumer",3
"equal",3
"equit",3
"evn",3
"extra",3
"fact",3
"famili",3
"favor",3
"fisco",3
"fix",3
"focal",3
"formula",3
"free",3
"fulfil",3
"geotechn",3
"great",3
"gsdp",3
"head",3
"heavili",3
"huge",3
"hydropow",3
"iem",3
"illustr",3
"impos",3
"incept",3
"ineffici",3
"inflat",3
"influenza",3
"intent",3
"interact",3
"investe",3
"investig",3
"investor",3
"judici",3
"justif",3
"justifi",3
"last",3
"leas",3
"lender",3
"lih",3
"logist",3
"lse",3
"matrix",3
"meant",3
"meco",3
"middl",3
"midway",3
"motc",3
"msme",3
"necess",3
"necessit",3
"obvious",3
"onlend",3
"optim",3
"overrun",3
"paid",3
"panel",3
"parliament",3
"pavement",3
"penalti",3
"perspect",3
"pmus",3
"port",3
"portion",3
"pose",3
"postconflict",3
"postpon",3
"precondit",3
"prequalif",3
"prescript",3
"priorit",3
"properti",3
"proport",3
"quarter",3
"reaffirm",3
"realloc",3
"recept",3
"reconfirm",3
"recurr",3
"reengin",3
"reliabl",3
"replac",3
"reput",3
"requisit",3
"rfsdp",3
"rmi",3
"sanit",3
"sap",3
"satisfact",3
"sdp",3
"sensit",3
"seri",3
"shortcom",3
"shortfal",3
"simpler",3
"simplic",3
"simplifi",3
"sindh",3
"slippag",3
"smesdp",3
"solar",3
"sort",3
"stabil",3
"stand",3
"status",3
"straightforward",3
"subborrow",3
"suffer",3
"suit",3
"supplement",3
"synchron",3
"tackl",3
"tap",3
"techniqu",3
"tender",3
"terrain",3
"tonl",3
"tool",3
"town",3
"transform",3
"turn",3
"turnov",3
"tuvalu",3
"unclear",3
"under",3
"underestim",3
"underscor",3
"understood",3
"uniform",3
"uniqu",3
"unnecessari",3
"upper",3
"urgent",3
"variabl",3
"vcf",3
"versus",3
"volatil",3
"warn",3
"warrant",3
"wast",3
"weight",3
"widespread",3
"worth",3
"absolut",2
"absorb",2
"academ",2
"academi",2
"acceler",2
"accredit",2
"accuraci",2
"acquir",2
"acut",2
"adequaci",2
"advic",2
"agrarian",2
"agribusi",2
"aif",2
"aim",2
"allianc",2
"altin",2
"amend",2
"analys",2
"anti",2
"apex",2
"appetit",2
"appris",2
"ard",2
"aris",2
"armi",2
"asia",2
"asian",2
"atol",2
"automat",2
"autonom",2
"bds",2
"began",2
"benefici",2
"bidder",2
"biodivers",2
"boh",2
"bol",2
"bonus",2
"bottleneck",2
"branch",2
"bri",2
"bureaucrat",2
"bureaus",2
"cabinet",2
"catalyt",2
"caution",2
"ccc",2
"cdbl",2
"cdgk",2
"cds",2
"character",2
"cheapest",2
"child",2
"choos",2
"citizen",2
"civic",2
"claus",2
"clean",2
"clearer",2
"coach",2
"cofinanci",2
"combat",2
"come",2
"commensur",2
"comparison",2
"complaint",2
"compound",2
"compromis",2
"conceiv",2
"conclus",2
"conduc",2
"conform",2
"consolid",2
"content",2
"contigu",2
"conveni",2
"cope",2
"corrupt",2
"counsel",2
"counterproduct",2
"counti",2
"crisi",2
"crop",2
"cross",2
"csf",2
"cumbersom",2
"curricula",2
"cyclon",2
"dam",2
"damag",2
"dcsi",2
"debat",2
"decid",2
"decoupl",2
"deficit",2
"deform",2
"delin",2
"delinqu",2
"deliver",2
"destitut",2
"deter",2
"deterior",2
"deviat",2
"devolut",2
"dgh",2
"dhaka",2
"dictat",2
"dimens",2
"display",2
"distinguish",2
"dmcs",2
"dollar",2
"domest",2
"dor",2
"doubl",2
"downsiz",2
"draft",2
"drainag",2
"dynam",2
"earmark",2
"ecosystem",2
"ecotour",2
"emb",2
"endow",2
"enjoy",2
"enlarg",2
"enrol",2
"entail",2
"entranc",2
"entrench",2
"estat",2
"eventu",2
"evolv",2
"exceed",2
"excel",2
"exhibit",2
"explan",2
"exposur",2
"extract",2
"fair",2
"fao",2
"feder",2
"feed",2
"feedback",2
"femal",2
"fewer",2
"fit",2
"forc",2
"foreseen",2
"forewarn",2
"format",2
"fpg",2
"freeli",2
"friend",2
"gather",2
"gaug",2
"gemap",2
"grievanc",2
"grp",2
"hamper",2
"handov",2
"harbin",2
"hardwar",2
"headquart",2
"heavi",2
"held",2
"hindsight",2
"hire",2
"home",2
"hope",2
"horizon",2
"hospit",2
"ideal",2
"impetus",2
"impli",2
"imposs",2
"inabl",2
"inbuilt",2
"incid",2
"inconsist",2
"increment",2
"incur",2
"index",2
"indispens",2
"inequ",2
"inevit",2
"inexperi",2
"ingredi",2
"insight",2
"instabl",2
"instil",2
"inter",2
"interim",2
"interpret",2
"interview",2
"ipm",2
"ipo",2
"irrevoc",2
"judg",2
"karachi",2
"kazakhstan",2
"keen",2
"khushhali",2
"kwh",2
"lag",2
"lane",2
"latest",2
"laudabl",2
"launch",2
"lbp",2
"liquid",2
"live",2
"lost",2
"maf",2
"manual",2
"maritim",2
"matur",2
"mcl",2
"mef",2
"memo",2
"meter",2
"meticul",2
"micro",2
"microcredit",2
"mileston",2
"mind",2
"minist",2
"mis",2
"modif",2
"modifi",2
"momentum",2
"monetari",2
"mortgag",2
"mpdf",2
"mprdc",2
"mpwt",2
"mtl",2
"multi",2
"multitranch",2
"mutual",2
"nationwid",2
"navig",2
"net",2
"newli",2
"nia",2
"nlis",2
"nonperform",2
"nonsovereign",2
"nonstructur",2
"norm",2
"notabl",2
"notion",2
"obstacl",2
"occurr",2
"opinion",2
"orm",2
"outer",2
"overlap",2
"overse",2
"oversea",2
"pandem",2
"paradigm",2
"path",2
"pbme",2
"pco",2
"perceiv",2
"permit",2
"persist",2
"pfm",2
"pictur",2
"pie",2
"pipelin",2
"pivot",2
"platform",2
"pmos",2
"ppta",2
"precipit",2
"preconstruct",2
"prefectur",2
"prepared",2
"prequalifi",2
"prmp",2
"propon",2
"protract",2
"psod",2
"qualit",2
"quantit",2
"rakyat",2
"ramif",2
"rare",2
"ratio",2
"rbac",2
"readili",2
"realiti",2
"reb",2
"rebuild",2
"recycl",2
"refin",2
"reformul",2
"regist",2
"registr",2
"reimburs",2
"remedi",2
"remot",2
"remuner",2
"repaid",2
"repair",2
"represent",2
"reveal",2
"rigid",2
"rise",2
"roll",2
"rough",2
"routin",2
"rufiyaa",2
"sale",2
"sanction",2
"scarc",2
"sccs",2
"season",2
"secretariat",2
"segment",2
"sequenti",2
"settlement",2
"sgia",2
"sharp",2
"shelter",2
"shortag",2
"shown",2
"sign",2
"signal",2
"simpli",2
"simultan",2
"slice",2
"socio",2
"soe",2
"soft",2
"soil",2
"sole",2
"spb",2
"station",2
"statutori",2
"stood",2
"stringent",2
"submiss",2
"subsid",2
"substant",2
"substat",2
"succinct",2
"sunset",2
"surveil",2
"swap",2
"synergi",2
"tailor",2
"taught",2
"teach",2
"temper",2
"tenur",2
"termin",2
"tesda",2
"tevt",2
"thought",2
"threat",2
"tie",2
"timefram",2
"titl",2
"tonga",2
"trace",2
"transco",2
"transpir",2
"trend",2
"true",2
"tvet",2
"typic",2
"undergo",2
"undermin",2
"underpin",2
"unforeseen",2
"unifi",2
"unrealist",2
"unresolv",2
"unsuccess",2
"unsuit",2
"unutil",2
"upazila",2
"upcom",2
"urg",2
"usag",2
"uti",2
"valu",2
"valuat",2
"vast",2
"violenc",2
"visit",2
"voluntari",2
"volunteer",2
"wage",2
"waiv",2
"want",2
"weaken",2
"weather",2
"west",2
"wholesal",2
"wire",2
"word",2
"workabl",2
"worker",2
"worthwhil",2
"wss",2
"abandon",1
"abreast",1
"abrupt",1
"abund",1
"accid",1
"accru",1
"adjoin",1
"advoc",1
"affair",1
"affili",1
"afghan",1
"afterward",1
"aggreg",1
"ago",1
"air",1
"ajp",1
"akin",1
"alert",1
"alli",1
"allot",1
"allud",1
"alongsid",1
"ambit",1
"amid",1
"aml",1
"ampl",1
"angat",1
"anhui",1
"annex",1
"annuiti",1
"annul",1
"answer",1
"antipoverti",1
"apscl",1
"aqueduct",1
"arc",1
"architectur",1
"argu",1
"arid",1
"armenia",1
"armenian",1
"arrangementsï",1
"arrear",1
"arriv",1
"ashuganj",1
"asphalt",1
"assam",1
"asycuda",1
"attitudin",1
"augment",1
"australia",1
"awdr",1
"azerbaijan",1
"backfir",1
"badan",1
"bappena",1
"barani",1
"bare",1
"barki",1
"behalf",1
"behav",1
"belief",1
"believ",1
"besdp",1
"bias",1
"big",1
"bioga",1
"bittaheen",1
"blueprint",1
"bold",1
"bought",1
"boundari",1
"bpg",1
"brand",1
"brdb",1
"breadth",1
"briefli",1
"brush",1
"bsf",1
"bssf",1
"buddhist",1
"bukidnon",1
"bulk",1
"bureau",1
"bureaucraci",1
"cadr",1
"calam",1
"calibr",1
"cambodg",1
"canal",1
"cap",1
"carbon",1
"career",1
"cargo",1
"cascad",1
"catalyz",1
"categori",1
"cater",1
"cautionari",1
"ccb",1
"ccf",1
"ccp",1
"cdd",1
"cdm",1
"cdpr",1
"ceb",1
"cei",1
"cfmdp",1
"chain",1
"characterist",1
"chc",1
"checklist",1
"childhood",1
"chui",1
"classif",1
"closest",1
"cls",1
"cmdp",1
"cmea",1
"coa",1
"code",1
"coffe",1
"cogent",1
"colombo",1
"command",1
"commission",1
"commonwealth",1
"commune",1
"complain",1
"comput",1
"confer",1
"confront",1
"conscienti",1
"conscious",1
"conseil",1
"conson",1
"continuum",1
"contrari",1
"contributor",1
"conven",1
"convent",1
"convers",1
"convert",1
"convict",1
"cook",1
"coral",1
"correspond",1
"cottag",1
"council",1
"counter",1
"counteract",1
"coupl",1
"cours",1
"cpo",1
"creditworthi",1
"crise",1
"criterion",1
"crm",1
"crowd",1
"csp",1
"ctc",1
"dab",1
"dan",1
"danish",1
"databas",1
"deadlin",1
"death",1
"declar",1
"deem",1
"deepli",1
"default",1
"delink",1
"democrat",1
"dens",1
"densiti",1
"depp",1
"deput",1
"deputi",1
"derail",1
"des",1
"desco",1
"describ",1
"descript",1
"designï",1
"detach",1
"detect",1
"detriment",1
"development",1
"dffw",1
"dfis",1
"dgrd",1
"diagnosi",1
"diagnost",1
"differenti",1
"diffus",1
"diminish",1
"disaggreg",1
"disagre",1
"disband",1
"disciplin",1
"dispar",1
"dispens",1
"dispers",1
"disrupt",1
"dissatisfact",1
"dissip",1
"distanc",1
"distort",1
"distract",1
"districtsï",1
"diversifi",1
"divest",1
"divid",1
"divorc",1
"doabl",1
"doctor",1
"doi",1
"domin",1
"don",1
"doubli",1
"download",1
"downstream",1
"downturn",1
"dri",1
"drift",1
"drop",1
"duplic",1
"dysfunct",1
"earliest",1
"east",1
"eco",1
"edc",1
"elaps",1
"electricit",1
"electro",1
"elucid",1
"embank",1
"embark",1
"embed",1
"emiss",1
"empir",1
"empow",1
"endur",1
"engend",1
"ensconc",1
"enter",1
"enthusiasm",1
"entri",1
"entrust",1
"envelop",1
"error",1
"escal",1
"espous",1
"everbright",1
"evidenc",1
"exact",1
"except",1
"exclud",1
"exclus",1
"exemplari",1
"exemplifi",1
"exert",1
"exogen",1
"expatri",1
"expediti",1
"expend",1
"exponenti",1
"export",1
"express",1
"facet",1
"faci",1
"facto",1
"factual",1
"faith",1
"fals",1
"fatal",1
"fault",1
"faulti",1
"feeder",1
"feel",1
"felt",1
"ferri",1
"ffd",1
"fidic",1
"fight",1
"figur",1
"fil",1
"finish",1
"fire",1
"firr",1
"first",1
"fish",1
"flag",1
"flounder",1
"fluid",1
"forego",1
"forestri",1
"forthright",1
"fraction",1
"fragil",1
"fraud",1
"frequenc",1
"fresh",1
"friendli",1
"front",1
"frontlin",1
"fullest",1
"gap",1
"gasif",1
"gef",1
"gist",1
"grade",1
"grain",1
"greenhous",1
"grid",1
"groundwat",1
"grsp",1
"half",1
"halfheart",1
"handbook",1
"handhold",1
"hangzhou",1
"harbor",1
"hard",1
"harder",1
"hasten",1
"hastili",1
"hdm",1
"headwork",1
"healthi",1
"heart",1
"hfcs",1
"hic",1
"hidden",1
"highest",1
"highland",1
"hilli",1
"hing",1
"hmg",1
"hmwsccc",1
"hoc",1
"holist",1
"host",1
"humanitarian",1
"hurdl",1
"hydroelectr",1
"hydrolog",1
"iafsp",1
"idl",1
"ifc",1
"ill",1
"imf",1
"immin",1
"immun",1
"imped",1
"imper",1
"imt",1
"inaccur",1
"inadequaci",1
"inconveni",1
"indian",1
"indonesian",1
"inertia",1
"inexpens",1
"infact",1
"infecti",1
"infer",1
"inferior",1
"influenti",1
"infus",1
"ing",1
"ingrain",1
"inhibit",1
"inim",1
"insignific",1
"inspector",1
"interfac",1
"interfer",1
"interior",1
"interministeri",1
"international",1
"interv",1
"interven",1
"interventionist",1
"intra",1
"intrins",1
"invari",1
"invoic",1
"involuntari",1
"ira",1
"iran",1
"irregular",1
"irrelev",1
"islam",1
"isol",1
"issuanc",1
"iter",1
"iwrmu",1
"japan",1
"join",1
"jordan",1
"jsc",1
"judgment",1
"june",1
"jurisdict",1
"justic",1
"kabul",1
"keep",1
"kesc",1
"keuangan",1
"kit",1
"know",1
"kpmg",1
"laboratori",1
"laid",1
"landlock",1
"laps",1
"lar",1
"larp",1
"laud",1
"launder",1
"lay",1
"lbat",1
"legislatur",1
"lengthi",1
"lessen",1
"lest",1
"letter",1
"levi",1
"lgo",1
"lgrdd",1
"liais",1
"liaison",1
"lie",1
"lieu",1
"literaci",1
"livestock",1
"lmi",1
"loanabl",1
"loos",1
"lose",1
"maa",1
"machineri",1
"macroeconom",1
"madhya",1
"magnitud",1
"manageri",1
"mandatori",1
