"","x"
"transition",10
"transport",10
"uzbekistan",10
"viability",10
"village",10
"active",9
"alternative",9
"apparent",9
"appears",9
"budgetary",9
"cases",9
"cash",9
"complete",9
"consensus",9
"consulting",9
"corporate",9
"corporation",9
"covering",9
"crosscutting",9
"defined",9
"depend",9
"depth",9
"difficulty",9
"donors",9
"earlier",9
"enhance",9
"ensured",9
"evaluate",9
"expressway",9
"flow",9
"foreign",9
"ground",9
"higher",9
"improvements",9
"incentive",9
"incorporated",9
"increased",9
"increases",9
"inherent",9
"innovative",9
"intervention",9
"introduced",9
"lao",9
"lead",9
"legislation",9
"likewise",9
"managed",9
"manager",9
"means",9
"member",9
"opportunities",9
"organization",9
"payments",9
"pdr",9
"personnel",9
"persons",9
"phased",9
"prc",9
"preparing",9
"proven",9
"raised",9
"resulted",9
"scale",9
"sectors",9
"sequencing",9
"setting",9
"showed",9
"site",9
"sites",9
"socioeconomic",9
"special",9
"strategic",9
"substantial",9
"successfully",9
"suitable",9
"supporting",9
"survey",9
"themes",9
"track",9
"traffic",9
"upfront",9
"validator",9
"wide",9
"working",9
"absence",8
"accepted",8
"accountability",8
"activity",8
"adequately",8
"adopted",8
"aids",8
"assessing",8
"assessments",8
"assist",8
"assumptions",8
"banking",8
"beginning",8
"benefited",8
"cancellation",8
"complexity",8
"conducted",8
"connection",8
"consultations",8
"cooperation",8
"delivery",8
"electricity",8
"evaluator",8
"familiar",8
"farm",8
"field",8
"firm",8
"flexible",8
"gas",8
"geographic",8
"identification",8
"identifying",8
"immediately",8
"input",8
"intensive",8
"intermediaries",8
"introducing",8
"lanka",8
"legislative",8
"links",8
"maintain",8
"measurement",8
"meeting",8
"mfis",8
"minimize",8
"months",8
"natural",8
"ongoing",8
"outset",8
"overly",8
"pertaining",8
"philippines",8
"prepare",8
"prevent",8
"priority",8
"purpose",8
"question",8
"recognition",8
"reference",8
"relates",8
"similarly",8
"size",8
"sri",8
"steps",8
"stronger",8
"team",8
"tend",8
"trained",8
"transmission",8
"utilization",8
"views",8
"vis",8
"women",8
"achievements",7
"adopt",7
"advisory",7
"afghanistan",7
"applicable",7
"authorities",7
"award",7
"aware",7
"behavior",7
"brought",7
"built",7
"clarity",7
"committed",7
"coordinate",7
"coordinated",7
"created",7
"debt",7
"deliver",7
"demonstrated",7
"departments",7
"develop",7
"disaster",7
"discussion",7
"distribution",7
"emphasis",7
"enable",7
"enforcement",7
"envisaged",7
"evaluated",7
"firms",7
"frequent",7
"growth",7
"hand",7
"highly",7
"holds",7
"indonesia",7
"intermediation",7
"involve",7
"larger",7
"leadership",7
"learning",7
"lgus",7
"livelihood",7
"lower",7
"managers",7
"markets",7
"members",7
"multisector",7
"network",7
"observations",7
"opportunity",7
"option",7
"pacific",7
"pcbs",7
"pmo",7
"pmu",7
"points",7
"population",7
"principles",7
"promotion",7
"prompt",7
"providers",7
"purposes",7
"reach",7
"realized",7
"reducing",7
"reinforced",7
"relate",7
"relating",7
"repoert",7
"resistance",7
"response",7
"responsible",7
"restructuring",7
"resulting",7
"safety",7
"schedule",7
"scheme",7
"serve",7
"significantly",7
"starting",7
"strict",7
"supervise",7
"supervisory",7
"systematic",7
"teachers",7
"tranches",7
"treatment",7
"user",7
"users",7
"venture",7
"willingness",7
"accounts",6
"addressing",6
"animal",6
"appropriately",6
"approved",6
"asset",6
"assets",6
"associations",6
"back",6
"bid",6
"bpkp",6
"bring",6
"buy",6
"candidate",6
"care",6
"carried",6
"carry",6
"city",6
"communications",6
"complementary",6
"concepts",6
"consistent",6
"continuous",6
"coordinating",6
"correctly",6
"customs",6
"dealing",6
"decisions",6
"deeper",6
"demonstrate",6
"deployment",6
"districts",6
"easier",6
"effects",6
"elements",6
"encountered",6
"engaging",6
"enhanced",6
"entire",6
"estimating",6
"estimation",6
"evaluations",6
"exit",6
"facilitating",6
"feasible",6
"final",6
"fisheries",6
"focusing",6
"forward",6
"function",6
"generated",6
"generation",6
"give",6
"group",6
"guinea",6
"happen",6
"helpful",6
"helps",6
"household",6
"individual",6
"influence",6
"insurance",6
"interagency",6
"introduction",6
"kyrgyz",6
"largely",6
"left",6
"liability",6
"lines",6
"loess",6
"maintained",6
"makers",6
"manage",6
"mandate",6
"materials",6
"model",6
"move",6
"numerous",6
"objective",6
"offers",6
"operate",6
"organizational",6
"oriented",6
"oversight",6
"papua",6
"past",6
"perform",6
"physical",6
"point",6
"possibly",6
"preliminary",6
"present",6
"primary",6
"proceeds",6
"provinces",6
"psc",6
"pursued",6
"railway",6
"range",6
"recognized",6
"reflect",6
"relation",6
"reliance",6
"repayment",6
"revenue",6
"reviewed",6
"rules",6
"selected",6
"sense",6
"shows",6
"slow",6
"smaller",6
"specifically",6
"spread",6
"subsequently",6
"surveys",6
"sustaining",6
"tasks",6
"teacher",6
"technologies",6
"testing",6
"transfer",6
"weaknesses",6
"world",6
"accompanied",5
"accounting",5
"achievable",5
"adjusted",5
"adjustments",5
"advantages",5
"affect",5
"alignment",5
"allocated",5
"allocations",5
"amount",5
"apparently",5
"apply",5
"aspect",5
"avoidance",5
"avoiding",5
"bangladesh",5
"cambodia",5
"capabilities",5
"client",5
"cofinancing",5
"collapsible",5
"combined",5
"common",5
"competent",5
"complied",5
"conducting",5
"confirmed",5
"conservation",5
"considerable",5
"consultancy",5
"contracting",5
"contribute",5
"contributions",5
"corrective",5
"coverage",5
"covered",5
"creating",5
"currency",5
"curriculum",5
"date",5
"decentralized",5
"define",5
"delegation",5
"demonstration",5
"desired",5
"detail",5
"determined",5
"developments",5
"discussions",5
"diversification",5
"dmc",5
"earthquake",5
"emerging",5
"emphasize",5
"emphasized",5
"enabled",5
"enabling",5
"encourage",5
"endorses",5
"engineering",5
"enhancing",5
"essentially",5
"ethnic",5
"evidence",5
"exchange",5
"expenditure",5
"expenditures",5
"experiences",5
"facilitated",5
"farmer",5
"fee",5
"fees",5
"financed",5
"flood",5
"fourth",5
"functions",5
"fundamental",5
"gave",5
"global",5
"goals",5
"gradual",5
"grant",5
"growing",5
"harmonization",5
"highway",5
"inclusion",5
"instance",5
"interlinked",5
"investing",5
"length",5
"likelihood",5
"limits",5
"linking",5
"list",5
"livelihoods",5
"managing",5
"meaningful",5
"mekong",5
"method",5
"methods",5
"mitigated",5
"modalities",5
"mongolia",5
"nonetheless",5
"normal",5
"obligations",5
"occur",5
"offered",5
"officials",5
"order",5
"orientation",5
"output",5
"pace",5
"pages",5
"parameters",5
"party",5
"passage",5
"periodic",5
"periods",5
"play",5
"poorest",5
"ppms",5
"prevailing",5
"previous",5
"priorities",5
"proceed",5
"products",5
"projections",5
"promoting",5
"proved",5
"punjab",5
"pvr",5
"quickly",5
"raising",5
"rapid",5
"rate",5
"ready",5
"redesign",5
"region",5
"replicated",5
"requiring",5
"resolution",5
"respect",5
"revolving",5
"rights",5
"robust",5
"roles",5
"schedules",5
"secondary",5
"sections",5
"selecting",5
"sought",5
"staffing",5
"statement",5
"steering",5
"subcomponents",5
"suggestion",5
"sustain",5
"takes",5
"transparent",5
"trust",5
"ultimately",5
"understand",5
"usefulness",5
"variations",5
"vital",5
"wastewater",5
"ways",5
"worked",5
"absorptive",4
"accompanying",4
"accordance",4
"accurately",4
"acted",4
"actively",4
"added",4
"adjust",4
"adjustment",4
"advanced",4
"advantage",4
"agree",4
"agreements",4
"aid",4
"aligned",4
"allocating",4
"allocation",4
"apb",4
"applying",4
"appointed",4
"appreciation",4
"ascertained",4
"assigned",4
"assisted",4
"averted",4
"base",4
"bme",4
"bond",4
"borrowing",4
"budgets",4
"campaigns",4
"canceled",4
"capable",4
"cbos",4
"challenges",4
"changed",4
"charge",4
"choice",4
"clearance",4
"climate",4
"coastal",4
"commencement",4
"commission",4
"completed",4
"complicated",4
"concern",4
"confidence",4
"confusion",4
"constructed",4
"continuity",4
"contractual",4
"cooperative",4
"cooperatives",4
"current",4
"danida",4
"degree",4
"delegated",4
"delivering",4
"demonstrates",4
"desirable",4
"determining",4
"directorate",4
"disasters",4
"doc",4
"easy",4
"economies",4
"efficiently",4
"elaborate",4
"enactment",4
"endorsed",4
"engage",4
"esrp",4
"essence",4
"establishment",4
"estimate",4
"exercised",4
"exists",4
"expand",4
"expansion",4
"expectations",4
"expedite",4
"expensive",4
"experts",4
"explain",4
"explained",4
"explored",4
"facilitators",4
"failed",4
"farming",4
"fast",4
"findings",4
"food",4
"forecast",4
"forest",4
"formulate",4
"formulated",4
"foster",4
"found",4
"foundation",4
"frameworks",4
"fujian",4
"gain",4
"genuine",4
"geological",4
"guide",4
"hands",4
"hdmf",4
"hef",4
"hiv",4
"ict",4
"implications",4
"imprest",4
"inappropriate",4
"incorporating",4
"increasing",4
"ineffective",4
"inexperienced",4
"informed",4
"initiated",4
"initiative",4
"instrument",4
"invest",4
"involves",4
"islands",4
"item",4
"kind",4
"lacked",4
"late",4
"leaving",4
"leverage",4
"lgfbr",4
"lgu",4
"life",4
"limit",4
"logical",4
"makes",4
"manner",4
"map",4
"matching",4
"matters",4
"maximize",4
"maximum",4
"memorandum",4
"merit",4
"met",4
"minimized",4
"minor",4
"mobilizing",4
"modern",4
"money",4
"municipal",4
"negative",4
"observation",4
"offering",4
"opposed",4
"optimistic",4
"outlined",4
"outreach",4
"owned",4
"package",4
"packages",4
"paper",4
"parallel",4
"partial",4
"participants",4
"parts",4
"pcrs",4
"pertinent",4
"piu",4
"png",4
"pnrm",4
"position",4
"powers",4
"practical",4
"pro",4
"proactive",4
"procedure",4
"processed",4
"promoted",4
"proposals",4
"prudent",4
"push",4
"raise",4
"real",4
"realization",4
"recommends",4
"recruited",4
"regime",4
"relationships",4
"relief",4
"remain",4
"resolve",4
"resolved",4
"respond",4
"responsiveness",4
"rice",4
"rigorously",4
"river",4
"safeguard",4
"salaries",4
"scrutiny",4
"sectoral",4
"seek",4
"select",4
"selective",4
"served",4
"sharing",4
"software",4
"solution",4
"solutions",4
"specialist",4
"specialized",4
"spending",4
"srf",4
"step",4
"strategies",4
"structural",4
"subprogram",4
"subprograms",4
"substantially",4
"suggest",4
"tajikistan",4
"task",4
"tax",4
"teams",4
"timelines",4
"times",4
"toll",4
"top",4
"total",4
"traditional",4
"transparency",4
"treated",4
"unable",4
"unctad",4
"undertaking",4
"unexpected",4
"utilize",4
"vbard",4
"verification",4
"villages",4
"welfare",4
"wider",4
"withdrawal",4
"wuas",4
"acceptable",3
"acceptance",3
"accommodate",3
"adapt",3
"adhere",3
"adverse",3
"adversely",3
"advisable",3
"advisors",3
"affordable",3
"aib",3
"airport",3
"alb",3
"align",3
"amounts",3
"application",3
"appropriateness",3
"approvals",3
"arose",3
"assisting",3
"assumption",3
"assured",3
"attract",3
"average",3
"avian",3
"awarded",3
"axle",3
"balochistan",3
"bankable",3
"basics",3
"basin",3
"bhutan",3
"bodies",3
"borrowers",3
"bottom",3
"bound",3
"bringing",3
"burden",3
"cancel",3
"carrying",3
"cba",3
"certification",3
"champion",3
"chance",3
"charges",3
"chittagong",3
"closing",3
"closure",3
"collateralized",3
"collect",3
"collected",3
"commercialization",3
"commitments",3
"committees",3
"competencies",3
"competitiveness",3
"complexities",3
"comply",3
"concrete",3
"conjunction",3
"conservative",3
"considerably",3
"constant",3
"constraint",3
"correct",3
"costly",3
"creation",3
"cultural",3
"customers",3
"cut",3
"danger",3
"deal",3
"dealt",3
"dedicated",3
"deficiencies",3
"defining",3
"definition",3
"degradation",3
"depending",3
"deposit",3
"depository",3
"designers",3
"details",3
"devolved",3
"difference",3
"direction",3
"disbursements",3
"discouraged",3
"disputes",3
"documentation",3
"donor",3
"draws",3
"duration",3
"easily",3
"effect",3
"electrification",3
"emphasizes",3
"employed",3
"enforcing",3
"engaged",3
"entities",3
"enumerated",3
"environments",3
"equitable",3
"estimated",3
"evaluating",3
"events",3
"evn",3
"excessively",3
"exits",3
"expedited",3
"explicit",3
"extensions",3
"extra",3
"extremely",3
"face",3
"faced",3
"fact",3
"favorable",3
"features",3
"finally",3
"finding",3
"fiscos",3
"fixed",3
"focal",3
"formal",3
"formally",3
"formula",3
"fostered",3
"free",3
"generate",3
"geotechnical",3
"goods",3
"gsdp",3
"handle",3
"heavily",3
"highways",3
"hindered",3
"huge",3
"hydropower",3
"ideas",3
"iem",3
"illustrates",3
"inception",3
"includes",3
"inflation",3
"influenza",3
"infrastructures",3
"installation",3
"installed",3
"integrate",3
"interrelated",3
"invested",3
"investee",3
"items",3
"job",3
"justification",3
"learn",3
"leasing",3
"legislators",3
"light",3
"limitations",3
"load",3
"lse",3
"manageable",3
"matrix",3
"maximized",3
"meant",3
"measurable",3
"measure",3
"meco",3
"mentioned",3
"methodology",3
"middle",3
"midway",3
"minimizing",3
"minority",3
"mitigate",3
"mix",3
"motc",3
"motivation",3
"moving",3
"msme",3
"necessity",3
"negated",3
"negatively",3
"negotiations",3
"note",3
"observed",3
"obvious",3
"officer",3
"officers",3
"offices",3
"onlending",3
"operationalizing",3
"organic",3
"paid",3
"parliament",3
"participate",3
"partly",3
"passed",3
"passing",3
"pavement",3
"payment",3
"phases",3
"phasing",3
"plant",3
"played",3
"players",3
"pmus",3
"poorly",3
"portfolio",3
"portion",3
"positions",3
"postconflict",3
"potentially",3
"precede",3
"preference",3
"prequalification",3
"pressure",3
"prices",3
"pricing",3
"principle",3
"proceeded",3
"proceeding",3
"production",3
"professional",3
"programming",3
"proportion",3
"prospects",3
"prove",3
"qualification",3
"raises",3
"rationalized",3
"reasonable",3
"recent",3
"recognize",3
"recurrent",3
"reduces",3
"regulation",3
"reinforcement",3
"relationship",3
"relative",3
"remained",3
"repeated",3
"requests",3
"requisite",3
"reserves",3
"residents",3
"retain",3
"revenues",3
"reviewing",3
"reviews",3
"rfsdp",3
"rmi",3
"sanitation",3
"sap",3
"satisfaction",3
"scheduling",3
"screening",3
"sdp",3
"senior",3
"separated",3
"sequenced",3
"series",3
"shareholder",3
"shares",3
"shift",3
"shortcomings",3
"shortfalls",3
"show",3
"simpler",3
"simplicity",3
"sindh",3
"smesdp",3
"solar",3
"soundness",3
"specifications",3
"speed",3
"stability",3
"staffed",3
"started",3
"statements",3
"states",3
"status",3
"stipulated",3
"straightforward",3
"streamlining",3
"strength",3
"stresses",3
"strongly",3
"structures",3
"structuring",3
"student",3
"students",3
"subborrowers",3
"subcomponent",3
"subjected",3
"subsidy",3
"succeed",3
"suggestions",3
"suitability",3
"supplies",3
"tariffs",3
"terrain",3
"tonle",3
"towns",3
"tracked",3
"turnover",3
"tuvalu",3
"types",3
"uncertainty",3
"unclear",3
"underlying",3
"understood",3
"unfamiliar",3
"unfamiliarity",3
"unique",3
"unnecessary",3
"updating",3
"upper",3
"valid",3
"variables",3
"vcf",3
"versus",3
"vulnerability",3
"vulnerable",3
"warning",3
"weakness",3
"widespread",3
"worth",3
"yield",3
"absolutely",2
"academic",2
"academy",2
"accept",2
"accessible",2
"accommodated",2
"accomplish",2
"accomplished",2
"accountable",2
"accreditation",2
"accuracy",2
"acknowledges",2
"act",2
"acute",2
"adaptation",2
"adding",2
"adequacy",2
"adherence",2
"administer",2
"administrations",2
"adopting",2
"advice",2
"affects",2
"affordability",2
"agent",2
"agrarian",2
"agreeing",2
"aif",2
"alleviation",2
"allocate",2
"allowing",2
"altin",2
"analyses",2
"analytical",2
"analyze",2
"analyzed",2
"anchor",2
"anchored",2
"anti",2
"anticipate",2
"apex",2
"appetite",2
"applications",2
"appointment",2
"appreciated",2
"apprise",2
"approve",2
"ard",2
"army",2
"asia",2
"asian",2
"association",2
"assume",2
"assurance",2
"assure",2
"attached",2
"attainment",2
"attempt",2
"attempted",2
"attempts",2
"attractive",2
"attributed",2
"audit",2
"audits",2
"authorized",2
"automated",2
"autonomous",2
"backed",2
"backing",2
"balance",2
"balances",2
"basically",2
"bds",2
"bearing",2
"began",2
"behavioral",2
"benchmark",2
"beneficial",2
"bidders",2
"biodiversity",2
"body",2
"boh",2
"bol",2
"bonus",2
"borders",2
"bottlenecks",2
"bri",2
"bridge",2
"bridges",2
"broadly",2
"budgeting",2
"bureaucratic",2
"bureaus",2
"cabinet",2
"calculating",2
"calculations",2
"call",2
"called",2
"calls",2
"cancelled",2
"capture",2
"captures",2
"catalytic",2
"cautious",2
"ccc",2
"cdbl",2
"cdgk",2
"cds",2
"center",2
"centered",2
"centrally",2
"challenge",2
"challenging",2
"champions",2
"chances",2
"characterized",2
"cheapest",2
"check",2
"child",2
"choosing",2
"cites",2
"cities",2
"citizens",2
"civic",2
"claimed",2
"clauses",2
"clean",2
"clearer",2
"coaching",2
"cofinancier",2
"cognizant",2
"cohesion",2
"collateral",2
"combination",2
"combine",2
"coming",2
"commensurate",2
"comment",2
"comparative",2
"compared",2
"comparison",2
"compatible",2
"compete",2
"complaints",2
"compounded",2
"comprising",2
"conceived",2
"concentrated",2
"conceptualization",2
"concluded",2
"conclusion",2
"concur",2
"concurred",2
"concurrent",2
"conducive",2
"conduit",2
"confined",2
"conflicting",2
"consequence",2
"consistency",2
"consolidated",2
"constantly",2
"constitute",2
"constructive",2
"contained",2
"containment",2
"content",2
"contexts",2
"continues",2
"contribution",2
"coordinator",2
"cope",2
"corrected",2
"corruption",2
"counseling",2
"counterproductive",2
"county",2
"covenant",2
"crafted",2
"create",2
"credibility",2
"crisis",2
"csf",2
"cumbersome",2
"curricula",2
"customer",2
"cyclone",2
"dates",2
"day",2
"dcsi",2
"decided",2
"decisive",2
"deficits",2
"delineation",2
"delinquency",2
"deliverables",2
"demands",2
"depends",2
"deposits",2
"derive",2
"designated",2
"destitute",2
"deter",2
"developers",2
"deviated",2
"devolution",2
"devolve",2
"devoted",2
"dgh",2
"dhaka",2
"dimensions",2
"directing",2
"disagreement",2
"discussing",2
"diseases",2
"displayed",2
"disseminated",2
"distinguishing",2
"diverse",2
"division",2
"dmcs",2
"dollar",2
"domestic",2
"dor",2
"double",2
"doubt",2
"doubtful",2
"downsizing",2
"drafting",2
"drainage",2
"draw",2
"eal",2
"earmarking",2
"earthworks",2
"economical",2
"ecosystem",2
"ecotourism",2
"electric",2
"eligible",2
"embed",2
"emerged",2
"employee",2
"employing",2
"enables",2
"encouraging",2
"endowment",2
"enforce",2
"enjoy",2
"enlarging",2
"enrollment",2
"ensued",2
"ensures",2
"entity",2
"entrances",2
"entrenched",2
"equally",2
"equipped",2
"estate",2
"event",2
"evident",2
"examination",2
"examine",2
"examined",2
"exceeded",2
"excellent",2
"excessive",2
"execute",2
"execution",2
"executive",2
"exercise",2
"exhibits",2
"expanded",2
"expanding",2
"expecting",2
"expediting",2
"explanation",2
"explore",2
"exposure",2
"extending",2
"externally",2
"factor",2
"fail",2
"failures",2
"families",2
"fao",2
"feed",2
"feedback",2
"female",2
"fewer",2
"find",2
"fit",2
"flexibly",2
"forces",2
"forecasts",2
"foreseen",2
"forests",2
"forewarned",2
"form",2
"format",2
"forming",2
"forms",2
"formulating",2
"fpg",2
"freely",2
"friendly",2
"fulfill",2
"functioning",2
"gained",2
"gains",2
"gathering",2
"gauge",2
"gemap",2
"geographically",2
"goal",2
"granted",2
"grants",2
"great",2
"grievances",2
"grp",2
"guaranteed",2
"guarantees",2
"guided",2
"hampered",2
"handover",2
"harbin",2
"hardware",2
"head",2
"headquarters",2
"heavy",2
"held",2
"hinder",2
"hindsight",2
"hospitals",2
"idea",2
"ideal",2
"impetus",2
"implementers",2
"imposed",2
"impossible",2
"inability",2
"inbuilt",2
"incidence",2
"inclusive",2
"incorporate",2
"incorporation",2
"incremental",2
"independently",2
"index",2
"indicating",2
"indispensable",2
"inefficiencies",2
"inequities",2
"inexperience",2
"inform",2
"ingredients",2
"inherently",2
"install",2
"instilled",2
"instituted",2
"institutionalizing",2
"instructions",2
"insufficiency",2
"integrating",2
"intentions",2
"inter",2
"interaction",2
"interesting",2
"interests",2
"interim",2
"intermediary",2
"interviewed",2
"introduce",2
"investigations",2
"investor",2
"ipm",2
"irrevocable",2
