Report Title,Report Description,Report Link,Report Approval Date:,Report Cover,Choose COUNTRIES,Choose REGION,Choose Report Type,Choose Project/Program Completion Reports (PCR) rating,Choose Validation of Project/Program Completion Report rating,Choose Project/Program Performance Evaluation Report (PPER) rating,Choose Technical Assistance Performance Evaluation (TPER) rating,Choose Project/Program Performance Audit Report rating,Choose Technical Assistance Completion Report rating,IED Reference Number,LESSONS,Project Title,Project Number,Project Summary,Project Data Sheet Link:,I. CHOOSE SECTOR,"Choose Agriculture, Natural Resources, and Rural Development subsector",Choose Education subsector,Choose Energy subsector,Choose Finance subsector,Choose Health subsector,Choose Industry and Trade subsector,Choose Information and Communication Technology subsector,Choose Public Sector Management subsector,Choose Transport subsector,Choose Water and Other Urban Infrastructure and Services subsector,Choose Multisector subsector,II. CHOOSE STRATEGIC AGENDAS,Choose Inclusive Economic Growth pillar,Choose Environmentally Sustainable Growth subcategory,Choose Regional Integration pillar,III. CHOOSE DRIVERS OF CHANGE,Choose Private Sector Development and Private Sector Operations subcategory,Choose Governance and Capacity Development subcategory,Choose Gender Equity and Mainstreaming subcategory,Choose Knowledge Solutions subcategory,Choose Partnerships (Type of Partner) subcategory,Choose Partnerships (Nature of Partnership) subcategory,Loan Number,Grant Number,Technical Assistance Number,Private Sector Loan Number,MFF Number,PVR Name,Validated Lessons,PVR Link,Tags,User ID,Timestamp,Last Updated,Created By,Updated By,Draft,IP,ID,Key
Indonesia: Coral Reef Rehabilitation and Management Project Phase II,,http://www.adb.org/documents/indonesia-coral-reef-rehabilitation-and-management-project-phase-II,17-09-14,,Indonesia,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,,"The project completion report (PCR) identified lessons from the implementation of the project that could be valuable to both ADB operations and to the borrower. This validation concurs with the PCR lessons, which essentially serve to reaffirm the benefits of a participatory approach to resource management. Key lessons are as follows: (i) mobilization and organization of coastal community groups and their subsequent participation in planning social infrastructure facilities did help foster a favorable climate for partnership among citizens, national and district governments, and the nongovernment organizations (NGOs); (ii) coordination of implementation arrangements among enforcement and/or regulatory institutions and communities, and the comprehensive awareness campaigns ensured the acceptance of various coral reef management (CRM) tasks entrusted to the communities; (iii) empowerment of women created numerous opportunities for them to be part of the decision-making processes and substantively contributed to improving their household income; and (iv) labor and local materials contributed by the fishing households for village level infrastructures or facilities instilled ownership and volunteerism that are necessary for the subprojects' sustainability, and lowered investment costs.",Indonesia: Coral Reef Rehabilitation and Management II,32176-013,"ADB will finance Project activities in six districts in Riau, North Sumatra, and West Sumatra. These districts are: (i) Kota Batam, Kepulauan Riau, and Natuna in Riau; (ii) Nias and Tapanuli Tengah in North Sumatra; and (iii) Mentawai in West Sumatra. The Project will have two major components: (i) Institutional Strengthening and Project Management, which will comprise (a) strengthening of national and regional institutions in policy, strategy, and guideline formulation and resource planning and management; (b) establishment and strengthening of a network of coral reef information and training centers (CRITCs); (c) human resources development (HRD) and extension; and (d) Project management; and (ii) Community-based Resource Management and Development, which will involve (a) community empowerment, (b) community resource management, (c) community social services and infrastructure development, and (d) community livelihood and income generation.",http://www.adb.org/projects/32176-013/main#project-pds,"Agriculture, Natural Resources, and Rural Development",Water-based natural resources management,,,,,,,,,,,"Inclusive Economic Growth, Environmentally Sustainable Growth",,,,"Governance and Capacity Development, Knowledge Solutions, Gender Equity and Mainstreaming",,,Effective gender mainstreaming,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4651,5csi7
Viet Nam: Emergency Rehabilitation of Calamity Damage Project,,http://www.adb.org/documents/viet-nam-emergency-rehabilitation-calamity-damage-project,17-09-14,,Viet Nam,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,,"The project completion report (PCR) provided valuable lessons to ADB operations. The clarity of the project's purpose, objectives, processes, and procedures helped ensure the government's commitment and focus in implementing the project, and fostered effective coordination at the national and provincial levels. This validation concurs with the PCR explanation that certain institutional factors, like the use of cost norms in capital expenditure budgeting, led to start-up delays and should therefore be addressed by the government. Receptivity and capacity to adjust to changes in loan administration policy and procedures, and the prompt action on the recommended reforms in rural infrastructure rehabilitation works are important lessons for both the government and ADB in designing and implementing this project. Future interventions to address similar emergency situations through any modality akin to the emergency assistance loan (EAL) have to be doubly scrutinized. Projects for EAL consideration should be selected more carefully. The delivery of the desired outputs, especially those that are capital expenditures in nature, could easily be constrained or at worst derailed by restrictions that are inherent in such assistance, but not often seen in ordinary program and/or project loan operations. Rehabilitating damaged infrastructure and facilities often take a long time, and sometimes require redesign to be sustainable. ADB- supported rehabilitation efforts also have to be synchronized with those of other donors and humanitarian relief organizations with vast experiences in disaster relief and mitigation to ensure timely delivery, quality, and immediate impact of the assistance. However, given the short time frames for EALs, longer-term rehabilitation activities should be mainstreamed in future country operational plans with corresponding alternative funding mechanisms explored.",Viet Nam: Emergency Rehabilitation of Calamity Damage Project,40282-013,The Project's impact will be sustained economic growth in the 10 provinces severely affected by typhoons in 2005. Its outcome will be rapid resumption of livelihoods in the affected areas.,http://www.adb.org/projects/40282-013/main#project-pds,"Agriculture, Natural Resources, and Rural Development, Education, Transport","Irrigation, Rural flood protection, Rural market infrastructure, Rural water supply services",,"Electricity transmission and distribution, Energy sector development and institutional reform",Infrastructure finance and investment funds,,,,,"Rail transport (non-urban), Road transport (non-urban), Transport policies and institutional development",,,"Inclusive Economic Growth, Environmentally Sustainable Growth",,,,,,,No gender elements,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,5851,y0t3
Mongolia: Second Phase of the Governance Reform Program,,http://www.adb.org/documents/mongolia-second-phase-governance-reform-program,16-09-14,,Mongolia,,Validation of Project/Program Completion Report,,PVR Partly/less than successful,,,,,,"This validation agrees with the project completion report (PCR) on the general lessons drawn from the Second Phase of the Governance Reform Program (GRP II) and it offers additional lessons.

The Managing Government Expenditure prescription on the public financial management (PFM) would be appropriate: (i) never transpose into a different social and economic context reforms introduced elsewhere, without in-depth assessment of their impact and requirements and appropriate adaptation if necessary; (ii) never move beyond the basics until one is certain that the basics have been set right; (iii) never hope for a quick-and-easy technical solution to complex and long- standing budget process problems; and above all, (iv) keep the local authorities firmly in charge of the reform process, and never assume that the 'experts' are invariably right.

In view of the difference in opinion with development partners regarding the approach that should have been taken, even if already ensconced in a law (Public Sector Management and Finance Law), the product of earlier efforts to improve PFM in the country should have been subjected to greater scrutiny and raised certain concerns. Moreover, given the complexity and comprehensiveness of the program, as different government agencies and bodies were involved, much greater preparatory work should have been undertaken in formulating the program to properly adapt the scope, time frame of reforms, available resources, and institutional capacity to its proper pacing and sequencing. (For example, review of the basics, identifying weaknesses and deficiencies of the system, consensus building among all stakeholders, identifying causes of dissatisfaction with the process and the incentive framework, e.g., local governments complain their investment plans are not being taken into account as the process is centrally driven.)

For complex, complicated, and broad-based programs such as the GRP II, close monitoring is a must, such that greater responsibility can wholly or partly be devolved to the resident mission, with appropriate in-house expertise. In view of capacity limitation on the part of the government, closer and more intensive handholding would have been indicated, such that deploying in-house medium-to-long-term experts would have been advisable.",Mongolia: Governance Reform Program II,35376-013,"The goals of the Second Governance Reform Program (GRP-II) is to enhance accountability and efficiency of the public sector of Mongolia, to be measured by fiscal sustainability and tangible improvments in delivery of key public services. Its purpose, following the measures adopted under the GRP on a pilot basis, is to support the implementation of administrative and financial management reforms in a gradual manner within the public sector. GRP-II will adopt a three-pronged approach to: (i) enhance institutional capacity; (ii) improve fiscal sustainability; and (iii) initiate mainstreaming of governance reforms.",http://www.adb.org/projects/35376-013/main#project-pds,Public Sector Management,,,,,,,,Public expenditure and fiscal management,,,,Inclusive Economic Growth,,,,"Governance and Capacity Development, Gender Equity and Mainstreaming",,,No gender elements,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4714,7c03
People's Republic of China: Coal Mine Methane Development Project,,http://www.adb.org/documents/people-s-republic-china-coal-mine-methane-development-project,16-09-14,,China,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,,"Lessons in the project completion report (PCR) noted that the use of modern technologies to capture methane gas can produce attractive returns while addressing the issues of climate change, energy security, and mine safety. Strong commitment and ownership of the project proponents are critical to the success of a demonstration project that uses the latest technologies. Flexibility in project design can also contribute to project success because changes not anticipated during project design and approval can adversely affect the project. The project demonstrated ADB's ability to design and formulate projects that provide large greenhouse gas mitigation and other environmental benefits. This validation concurs with the PCR's lessons and has no other lessons to offer.","China, People's Republic of: Coal Mine Methane Development Project",30403-013,"The main objective of the Project is to establish a CMM demonstration project that covers all aspects of effective and efficient CMM and CBM production, capture, and utilization by applying the latest technologies, i.e., improved CBM production from vertical surface wells and directionally drilled wells from the surface, improved CMM drainage through the use of underground directional drilling and other modern equipment and materials, CMM-based power generation using gas engines, and transmission and distribution of CMM for residential, commercial, and industrial use. In this manner the Project will also contribute to improving mine safety, reduce GHG emissions, and improvement of the environment.",http://www.adb.org/projects/30403-013/main#project-pds,Energy,,,Conventional energy generation,,,,,,,,,"Inclusive Economic Growth, Environmentally Sustainable Growth",,,,"Private Sector Development and Private Sector Operations, Governance and Capacity Development, Gender Equity and Mainstreaming",,,Some gender elements,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4782,q75uf
Viet Nam: Housing Finance Project,,http://www.adb.org/documents/viet-nam-housing-finance-project,12-09-14,,Viet Nam,,Validation of Project/Program Completion Report,,PVR Partly/less than successful,,,,,,"The project completion report (PCR) presented a few lessons related to better analyses on poverty and demand and supply for housing, improvements in the selection criteria, and more pro-poor loan procedures and flexibility in the loan size, term, and use. Most of these suggestions seem to be improvements in procedures during project preparation stage, rather than lessons. One lesson that can be highlighted is that improving the uptake of housing loans by the urban poor requires an adequate supply of housing units that suit their requirements, complemented by pro-poor loan procedures, such as fixed interest rates and flexible repayment terms. Another lesson is the need to properly phase consultancy support over the project's implementation period in view of the weak institutional capacity. If interest rates are market-based and not subsidized, poor households may also need other forms of subsidy as a part of national social policy to make housing affordable to them. This validation has no other lessons to offer.",Viet Nam: Housing Finance,35497-013,"The Project will improve the quality of life of urban low income and poor households through improved housing. The specific objective is to promote the establishment of a sustainable housing finance market in Viet Nam accessible to low-income and poor urban households. The Project will provide approximately 27,500 housing finance loans for over 137,000 people, disbursed through participating financial institutions in the first round of lending. The Project will support the establishment of a housing finance facility that will become the apex institution for the housing finance sector, and the implementation of a policy and institutional reform action plan that will facilitate the development of the housing finance system. The Project consists of three parts: (i) mortgage lending to urban low-income households (ULIPH); (ii) housing microfinance to urban poor households (UPH); and (iii) institutional strengthening and capacity building.",http://www.adb.org/projects/35497-013/main#project-pds,Finance,,,,Housing finance,Health care finance,,,"Economic affairs management, Public expenditure and fiscal management",,,,"Inclusive Economic Growth, Environmentally Sustainable Growth",,,,"Governance and Capacity Development, Gender Equity and Mainstreaming",,,Effective gender mainstreaming,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,5857,m17q4
Nepal: Skills for Employment Project,,http://www.adb.org/documents/nepal-skills-employment-project,25-08-14,,Nepal,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,,,Nepal: Skills for Employment Project,36611-013,The proposed Project aims to increase access to quality demand-driven skills development training. Proposed project components include (i) capacity strengthening to facilitate the delivery of skills development training (including policy development) and (ii) delivering demand-driven skills training.,http://www.adb.org/projects/36611-013/main#project-pds,Education,,Technical and vocational education and training,,,,,,,,,,Inclusive Economic Growth,,,,"Governance and Capacity Development, Knowledge Solutions",,,,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4727,ftg21
Viet Nam: Northern Power Transmission Sector Project,,http://www.adb.org/documents/viet-nam-northern-power-transmission-sector-project,25-08-14,,Viet Nam,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,,"The project completion report (PCR) identified four lessons. The PCR recommended that ADB should not approve funding for projects without independent evaluation and diligent review. The PCR questioned the sector loan approach because one subproject that was identified after loan approval took longer to process than planned. Delegation of loan administration to the Viet Nam Resident Mission improved the ability of ADB to monitor project. Lastly, cofinancing works well when the cofinancier accepts ADB rules and procedures for equipment procurement.

This validation agrees with the last two lessons regarding the delegation of loan administration to the resident mission and to the common rules and procedures for procurement. However, this validation does not concur with the first two lessons. The first lesson pertaining to the conduct of an independent evaluation and review is, in essence, a recommendation. There is also little justification provided for this recommendation in terms of cost and effectiveness. The conclusion that the sector approach was ineffective because one subproject experienced delays seems unwarranted.

In addition, ADB should have foreseen the risk of a new entity, the National Power Transmission Corporation (NPTC), which was significantly different from the designated implementing and executing agencies, and that this could possibly interfere in project implementation arrangements. At design, such risk should have been mitigated through appropriate loan and/or finance agreement clauses. This is an important lesson for future projects.",Viet Nam: Northern Power Transmission (Sector) Project,32273-013,The objectives of the Project are to (i) expand and strengthen EVN's transmission system in the north to improve system reliability and quality; and (ii) improve the efficiency of the power sector by supporting restructuring and commercialization of EVN. The Project will support the power sector reform efforts by ensuring that EVN's generation units are corporatized and its four transmission units are merged into one prior to the establishment of a 'single-buyer' model of operation for EVN in 2007.,http://www.adb.org/projects/32273-013/main#project-pds,Energy,,,Electricity transmission and distribution,,,,,,,,,Environmentally Sustainable Growth,,,,"Private Sector Development and Private Sector Operations, Governance and Capacity Development, Gender Equity and Mainstreaming",,,No gender elements,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,5858,bausp
Lao People's Democratic Republic: Health System Development Project,,http://www.adb.org/documents/lao-people-s-democratic-republic-health-system-development-project,23-08-14,,Lao PDR,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,,"The project completion report (PCR) derived the following six lessons from the project:

(i) Including detailed implementation plans for the project's first year would have prevented delays during implementation.

(ii) The implications of any major reallocation of project resources should have been well calculated.

(iii) In piloting pro-poor health schemes, the government should have contributed more to ensure ownership and commitment. Comprehensive social health protection mechanisms such as the Health Equity Fund (HEF) (mostly supported by donors) should have been independently evaluated, especially its cost-effectiveness, financial sustainability, and mechanisms prior to expanding nationwide.

(iv) Identifying mechanisms to enhance transparency would have increased the HEF's efficiency.

(v) The targeting mechanism should have been evaluated prior to scaling up the HEF scheme.

(vi) Capacity building in monitoring and evaluation (M&E) would have enabled the managers of the project's provinces and districts to perform results-based management.

This validation considers the PCR's lessons to be appropriate. But instead of six
lessons, there could have been only four as lessons (iii), (iv), and (v) are related to the HEF scheme, which could have been combined into one lesson.",Lao People's Democratic Republic: Health Sector Development,32313-012,"The TA will help (i) assess issues and opportunities for health system development (ii) conduct a participatory planning process to set priorities in policy reform, capacity building and investment and (iii) prepare a program proposal and implementation memorandum for possible ADB assistance.",http://www.adb.org/projects/32313-012/main#project-pds,Health,,,,,Health sector development and reform,,,,,,,Inclusive Economic Growth,,,,"Governance and Capacity Development, Gender Equity and Mainstreaming, Knowledge Solutions",,,Gender equity,,,,,,,,,,,,"M&amp;E, monitoring and evaluation",,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4689,tf7x9
Viet Nam: Support the Implementation of the Poverty Reduction Programs IV and V,,http://www.adb.org/documents/viet-nam-support-implementation-poverty-reduction-programs-iv-and-v,15-08-14,,Viet Nam,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,,"This validation concurs with the lessons cited by the project completion report (PCR) that a program cluster approach works well to encourage and engage countries that are committed to change, such as Viet Nam. Discussions on expected prior actions (or policy triggers) combined with tentative policy actions for the medium term as well as monitoring of higher-level sector results gave ADB and other partners the platform for continuing engagement in the context of the government's own development program. A series of single-tranche loans provide the flexibility to support medium-term oriented reforms. This validation appreciates the PCR lessons, and notes that (i) a key benefit of continuing engagement and dialogue is the expanded trust between development partners and government, which reduces transaction costs on both sides; and (ii) the need to ensure that laws and regulations produced are implemented to yield desired outcomes.

This validation notes two issues with the Poverty Reduction Support Credit (PRSC) and/or the Support the Implementation of Poverty Reduction Program (SIPRP) format. First, as reported in the PCR, budget support from the PRSCs went directly into the state budget. Line agencies that have participated in the policy dialogue and have achieved policy actions may not directly benefit from budgetary increases. Therefore, the link between agency performance and direct budgetary benefits was not clear. Second, this validation notes that the link between various detailed policy actions and outputs and monitored outcomes (high-level sector results) were often unclear, even to the line agencies and ministries that are principally accountable for the outcomes. This validation concurs with the PCR's observation that sensible intermediate indicators are required to bridge and clarify the links between various policy actions and high-level outcomes. The PCR was unclear on how policy actions in a particular area were tied together and worked over time toward a specific outcome.",,41046-013,,http://www.adb.org/projects/41046-013/main#project-pds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,5862,r81uo
Western Transport Corridor Project: Validation of Completion Report,This report validates the completion report's assessment of the project. IED overall assessment: Successful.,http://www.adb.org/projects/documents/western-transport-corridor-project-pcr,01-08-14,,India,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,PVR-425,"The PCR (project completion report) identified a few important lessons from the experience with contractors. The criteria for the qualification of contractors under a joint venture and for the award of multiple contracts should be strengthened. The PCR did not elaborate how this can be accomplished. This needs to be further assessed to formulate concrete steps to ensure that prequalified contractors are indeed capable as claimed and have the technical and financial resources to complete the proposed project. While performance bond requirements seek to guarantee contractor performance, this seemed ineffective under this project. There is also a need to strengthen provisions related to contractors' performance, such as mobilization, staffing, deployment of equipment and funds, release of payments, bonus for early completion, and penalties so that poor contractor performance could be discouraged. Likewise, the performance of the contractor should be assessed at the initial stages of the contract and the decision on termination, if warranted, should not be delayed. This validation finds these lessons appropriate and has no further lesson to offer.
project cycle stage: Design, Appraisal, Implementation",Western Transport Corridor Project,,The primary objective of the Project is (i) to remove capacity constraints on a critical section of the Western Transport Corridor. It also aims at (ii) maximizing private sector participation in the highway development and operations; and (iii) introducing design features that will improve safety and maximize positive impacts for those people within the Project's zone of influence.,http://www.adb.org/projects/31435-013/main#project-pds,Transport,,,,,,,,,Road transport (non-urban),,,Inclusive Economic Growth,,,,"Private Sector Development and Private Sector Operations, Governance and Capacity Development, Gender Equity and Mainstreaming",,,Some gender elements,,,,Loan 1839,,,,,,,,,omardumdum,03-02-16 16:30,06-04-16 5:47,omardumdum,andrequintos,0,124.104.195.112,2132,fw5az
Bangladesh: Second Small-Scale Water Resources Development Sector Project,,http://www.adb.org/documents/bangladesh-second-small-scale-water-resources-development-sector-project,04-07-14,,Bangladesh,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,,"This validation opines that the key lessons from this project, to be of substantive value to both the borrower and ADB operations, should not just be confined to a factual presentation of what transpired during project execution. Rather, they should be an account of the 'do's' and 'don'ts' in implementing a follow up or similar project in the future based on project events. Implementation delays could not have ensued and loan extension could have been negated if the following were undertaken early on during project preparation or implementation: (i) identification and deployment of qualified personnel, (ii) conscientious study of the manpower requirements of the Integrated Water Resources Management Unit (IWRMU) with the view of stemming employee turnover and sustaining staff interest and commitment to work, (iii) careful selection of partner nongovernment organizations (NGOs), and (iv) thorough needs assessment of subprojects. The government should also be forewarned of the need to develop and install a support system to sustain the water management cooperative associations (WMCAs) given their vulnerability to scheming and divisive tactics from various self-serving groups.",Bangladesh: Small Scale Water Resources Development Sector II,30209-013,"The overall goal of the Project is to support the Government's poverty reduction effort by increasing sustainable agricultural and fishery production. The project objective is to develop sustainable stakeholder-driven, small-scale water resource management systems with special attention to the poorer section of the population.",http://www.adb.org/projects/30209-013/main#project-pds,"Agriculture, Natural Resources, and Rural Development",Water-based natural resources management,,,,,,,,,,,Environmentally Sustainable Growth,,,,"Governance and Capacity Development, Gender Equity and Mainstreaming",,,Effective gender mainstreaming,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4589,p11jv
"Bhutan: Micro, Small, and Medium-Sized Enterprise Sector Development Program",,http://www.adb.org/documents/bhutan-micro-small-and-medium-sized-enterprise-sector-development-program,30-06-14,,Bhutan,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,,"This validation agrees with the project completion report (PCR) on the general lessons drawn from the Micro, Small, and Medium-Sized Enterprise Sector Development Program (MSME SDP). The clearly defined tranche release criteria provided impetus to achieve the envisaged outcomes and outputs. More involvement by the implementing agency, such as the Department of Cottage and Small Industry (DCSI), in the design process could have improved impact, particularly for the cost-sharing facility (CSF). There was lack of qualified local consultants and foreign consultants did not fully understand the context in Bhutan for a program such as the MSME SDP. Future programs should adequately account for this risk.

This validation agrees with the lessons pointed out by the project completion report (PCR) on the program and project components. The lessons from the program component were (i) the importance of an MSME policy paper, although delayed, in setting the strategy and action plan and a clear work program for DCSI; and (ii) administrative costs could have been reduced and incentives increased for implementing the program preconditions if the three tranches of $2 million were set to just two tranches of $3 million. From the project component, the lessons pointed out were (i) the broader reach realized due to the combination of credit to MSMEs, investment in their capacities, and an enabling environment; and (ii) the strong continuity between an earlier support by ADB for a credit information bureau and the project's support for a central registry as both initiatives reinforced each other. In addition to the lessons drawn out by the PCR, this validation adds that there should have been adequate assessment at appraisal of the suitability of a new facility such as the CSF, especially in the context of Bhutan where the number of BDS providers is small and where government heavily subsidizes training for business development services (BDS).","Bhutan: Micro, Small, and Medium-Sized Enterprise Sector Development Program (former Small and Medium Enterprise/Micro Enterprise Development Program)",39221-022,"ADB is supporting the development of micro-, small-, and medium-sized businesses in Bhutan. The project will help establish an integrated policy, strategy and institutional framework for the development of these enterprises, improve the business environment, and increase access to finance.",http://www.adb.org/projects/39221-022/main#project-pds,Industry and Trade,,,,,,Small and medium enterprise development,,,,,,Inclusive Economic Growth,,,,"Private Sector Development and Private Sector Operations, Gender Equity and Mainstreaming",,,Some gender elements,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4597,1lt0e
People's Republic of China: Gansu Heihe Rural Hydropower Development Investment Program - Dagushan Hydropower Project,,http://www.adb.org/documents/people-s-republic-china-gansu-heihe-rural-hydropower-development-investment-program-dagush,23-06-14,,China,,Validation of Project/Program Completion Report,,PVR Highly successful,,,,,,"The project completion report (PCR) identified three lessons. The first two lessons on project cost and counterpart financing dealt with procedures that are normally expected to be followed. In this validation's view, these are not lessons. The third lesson noted how the project contributed to sustainable socioeconomic development in the project area. This lesson was more of a discussion on a few facets of project implementation rather than a lesson. This validation has no lessons to offer.","China, People's Republic of: MFF-Gansu Heihe Rural Hydropower Development Investment Program - Project 2: Dagushan Hydropower Project",39652-033,"The Project's goal is to narrow the income disparity between urban and rural households in fragile environments of Fujian. The purpose of the Project is to improve and diversify income opportunities of rural households in mountainous and coastal areas of Fujian. The project scope comprises three components and include (a) soil conservation and integrated agriculture; (b) rural infrastructure; and (c) support services and project management. Following a sector-like approach, subprojects within components are selected according to the criteria agreed between Fujian Provincial Government (FPG) and ADB.",http://www.adb.org/projects/39652-033/main#project-pds,Energy,,,Large hydropower generation,,,,,,,,,"Inclusive Economic Growth, Environmentally Sustainable Growth",,,,"Private Sector Development and Private Sector Operations, Gender Equity and Mainstreaming",,,Some gender elements,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4787,tkg15
Philippines: Electricity Market and Transmission Development Project,,http://www.adb.org/documents/philippines-electricity-market-and-transmission-development-project,23-06-14,,Philippines,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,,"The project completion report (PCR) identified several lessons. First, it highlighted the need to train all market participants to ensure their readiness. On the transmission and substation component, the PCR suggested that ADB and the National Transmission Corporation (TRANSCO) should have closely collaborated to prevent implementation delays; implementation would have proceeded quicker had TRANSCO appointed full-time staff for bid evaluation. A single procurement of the substation equipment and resolution of right-of-way issues before project commencement would have hastened implementation.

The PCR noted that compensation and resettlement issues would have been resolved more quickly had the project made affected people better aware of the property valuation process and the impact of the project upon them, and established a mechanism for resolving disputes. Local government institutions would also have helped resolve disputes. The project should have activated the external monitoring group earlier to prepare it for the task of assisting affected people. This validation agrees with these lessons.",Philippines: Electricity Market and Transmission Development,36018-013,"The objective of the Project is to develop necessary infrastructure for the power sector restructuring, i.e. (i) to establish the Wholesale Electricity Spot Market (WESM) so that the electricity generation is dispatched on a competitive basis to meet the power demand; and (ii) to upgrade the critical transmission lines and substations as required in the Transmission Development Plan to ensure the reliability of the power supply.",http://www.adb.org/projects/36018-013/main#project-pds,Energy,,,Electricity transmission and distribution,,,,,,,,,Inclusive Economic Growth,,,,"Private Sector Development and Private Sector Operations, Gender Equity and Mainstreaming",,,No gender elements,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4814,uqmz0
India: Rural Roads Sector I Project,,http://www.adb.org/documents/india-rural-roads-sector-i-project,19-06-14,,India,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,,"The project completion report (PCR) identified the following four lessons from the project: (i) the limited availability and capacity of contractors, (ii) the length of time for preparing consultancy terms of reference and actual implementation was quite long, (iii) the increase in prices of materials, and (iv) the project employed the same standard documentation requirements for safeguards for large or small-scale projects. All of these can be considered normal project implementation issues.

Implementing a project with a large number of road subprojects together, with a capacity building component, would strain implementing agency staff resources and divide their attention among components. The capacity building component should have preceded the loan through a technical assistance grant.",India: Rural Roads Sector I,36320-013,"The objective of the Project is to reduce poverty and deprivation, and support economic growth, by providing enhanced access to markets, employment opportunities and social services, including health and education. This will be achieved by (i) providing rural habitations in Madhya Pradesh (MP) and Chhattisgarh (CG) with all-weather road connections; and (ii) improving the efficiency and sustainability of the national rural roads program (PMGSY) by providing support for capacity building, research and development, and development of financing and implementation arrangements for maintaining PMGSY roads throughout their economic life. The Project will finance construction and upgrading of about 5,000 km of village and other district roads in MP and 5,000 km in CG.",http://www.adb.org/projects/36320-013/main#project-pds,Transport,,,,,,,,,Road transport (non-urban),,,Inclusive Economic Growth,,,,"Governance and Capacity Development, Gender Equity and Mainstreaming",,,Some gender elements,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4638,wl8x6
