REPORT NAME,COUNTRY,SECTORS,DATE,LESSONS,REPORT TYPE,REPORT RATING,LINK
People's Republic of China: Acid Rain Control and Environmental Improvement Project [Loan 1890-PRC],China,"Energy, Industry and Trade, Water and Other Urban Infrastructure and Services",30-09-10,"1. The Anhui Provincial Government and ADB should ensure that the executing agency and/or project management office staff has the capacity to carry out the procurement in accordance with ADB guidelines before project procurement starts. This requirement should be made integral to the outputs of the project preparatory technical assistance and recorded in the report and recommendation of the President. [Main text, page 9, section E(ii.b)]

project cycle stage: Implementation

Lesson Topics: 
Project Management: Executing/Implementing agencies
Project Management: Procurement

2. ADB should obtain a stronger commitment from executing agencies to institutional strengthening and provide stronger monitoring and evaluation to meet that commitment. [Main text, page 9, section E(ii.b)]

project cycle stage: Implementation, Country Partnership Strategy

Lesson Topics: 
Monitoring & Evaluation: Monitoring and evaluation
Project Management: Executing/Implementing agencies
Capacity Development: Ownership",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/peoples-republic-china-acid-rain-control-and-environmental-improvement-project-loan-1890-p
Western Transport Corridor Project: Validation of Completion Report,India,Transport,01-08-14,"The PCR (project completion report) identified a few important lessons from the experience with contractors. The criteria for the qualification of contractors under a joint venture and for the award of multiple contracts should be strengthened. The PCR did not elaborate how this can be accomplished. This needs to be further assessed to formulate concrete steps to ensure that prequalified contractors are indeed capable as claimed and have the technical and financial resources to complete the proposed project. While performance bond requirements seek to guarantee contractor performance, this seemed ineffective under this project. There is also a need to strengthen provisions related to contractors' performance, such as mobilization, staffing, deployment of equipment and funds, release of payments, bonus for early completion, and penalties so that poor contractor performance could be discouraged. Likewise, the performance of the contractor should be assessed at the initial stages of the contract and the decision on termination, if warranted, should not be delayed. This validation finds these lessons appropriate and has no further lesson to offer.
project cycle stage: Design, Appraisal, Implementation",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/projects/documents/western-transport-corridor-project-pcr
Participatory Irrigation Sector Project: Validation of Completion Report,Indonesia,"Agriculture, Natural Resources, and Rural Development",10-02-15,"The PCR (project completion report) identified a number of lessons derived from the implementation of the project. While all of these are appropriate, this validation highlights mainly two of these as they have wide applicability across developing countries and within ADB. The first lesson deals with the reinforced conviction that WUA (water users association) and/or WUAF (water users associations' federation)-guided participatory irrigation management can be successfully implemented at the district level and in the lower levels in developing countries. The participation of farmers in these schemes improved project implementation as compared to the situation when there was exclusive reliance on administrators and contractors. The second lesson relates to the need to avoid overwrought arrangement for project disbursements. In this project, prorated financing arrangements from three different fund sources across each category of expenditure constrained the flow of funds. The size of imprest accounts should also be large enough to provide adequate cash flow for the executing agencies to operate while disbursement applications are being processed. This is particularly applicable for sector projects.
project cycle stage: Design, Implementation",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/indonesia-participatory-irrigation-sector-project
Madrasah Education Development Project: Validation of Completion Report,Indonesia,Education (EDU),16-01-15,,Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/indonesia-madrasah-education-development-project
Indonesia: Rural Income Generation Project,Indonesia,"Agriculture, Natural Resources, and Rural Development",10-12-12,"1. Data availability (of income and non-income variables at the village and district levels), costs in time and resources, and simplicity of application tend to play a greater role in determining the actual targeting mechanism used; it is therefore important to allocate resources to ensure that a project's targeting mechanism has these elements. [Main text, para. 21]

project cycle stage: Design

Lesson Topics: 
Monitoring & Evaluation: Data collection and management
Methodologies/Approaches: Targeting

2. Bank Rakyat Indonesia (BRI) appreciated the presence of third-party providers of intermediation services to self-help group (given BRI's insufficient experience with non-collateralized loans). This validation notes that such intermediaries need not be government personnel because contractual field liaison officers or nongovernment organizations (with potentially better financial skills than Agency for Agricultural Human Resources Development staff) could also perform such role without posing hidden costs to government. [Main text, para. 22(i)]

project cycle stage: Design, Implementation

Lesson Topics: 
Capacity Development: Ownership
Methodologies/Approaches: Consultation/Participation

3. This validation stresses the importance of inherent incentives in ensuring prompt repayment of non-collateralized loans from the perspectives of the subborrowers in making the payments and the conduit financial institution (the Bank Rakyat Indonesia in this case) in collection. [Main text, para. 22(ii)]

project cycle stage: Design, Implementation

Lesson Topics: 
Finance & Financial Aspects: Financing
Finance & Financial Aspects: Funding
Sector Related Issues: Rural development

4. This validation emphasizes the significance of clarifying upfront how the reflows would be utilized through a sunset provision to give the bank an incentive to maximize repayment and minimize arrears. [Main text, para. 22(iii)]

project cycle stage: Design

Lesson Topics: 
Finance & Financial Aspects: Financing
Finance & Financial Aspects: Funding
Sector Related Issues: Rural development

5. The administrative workload of implementing project activities at the district level across many provinces overwhelmed the executing agencies, resulting in delayed decision making, weak supervision of field personnel, and low sense of ownership among the beneficiaries; project activities ought to have focused on a few provinces at a time. [Main text, para. 22(iv)]

project cycle stage: Implementation

Lesson Topics: 
Project Management: Project supervision
Capacity Development: Ownership
Sector Related Issues: Rural development
Methodologies/Approaches: Targeting

6. The intensive demands of such a project on ADB supervision suggest that project management should be delegated to or shared with the Indonesia Resident Mission. Given the significant requirement for consultant inputs, ADB may facilitate the government's engagement of consulting firms instead of individual consultants. [Main text, para. 22(v)]

project cycle stage: Country Partnership Strategy

Lesson Topics: 
Project Management: Consultants
Project Management: Project management
Project Management: Project supervision
Other: Resident Mission",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/indonesia-rural-income-generation-project
CAREC Transport Corridor 1 (Zhambyl Oblast Section) Investment Program - Tranche 1: Validation of Completion Report,Kazakhstan,Transport,10-02-15,"The PCR (project completion report) identified three lessons. The first lesson was the need for realistic cost estimates. To avoid loan cancellations, effective due diligence should be undertaken through detailed engineering studies, examination of market rates of construction materials and consultant remuneration, and inclusion of careful calculations of physical and price contingencies in the project cost estimate. The second was the need for clearly identifying the role of the project management consultant. The original terms of reference did not properly define the tasks and deliverables of each expert and considerable time for refinements was needed. The third was the need to improve the executing agency's project management capacity. Inadequate knowledge and expertise of MOTC (Ministry of Transport and Communications) and the Committee for Roads on safeguards and procurement affected smooth project implementation. This validation supports these lessons. In addition, the validation notes traffic forecasts should be much more realistic, and reflect impacts of follow on projects on expected usage. Similarly, more effort should be taken to establish sustainable asset management systems, supported by credible sources of funding.
project cycle stage: Design, Feasibility, Appraisal, Implementation",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/kazakhstan-carec-transport-corridor-1-zhambyl-oblast-section-western-europe-western-people
Kazakhstan: Countercylical Support Loan,Kazakhstan,Public Sector Management,10-12-12,"There is a need to ensure a better coordination between the sovereign and nonsovereign operations in ADB so that the two sets of operations can operate in the country in a seamless manner. This is especially important in view of the enhanced role of nonsovereign operations under Strategy 2020 in a high middle income country such as Kazakhstan. [Main text, para. 29]

project cycle stage: Implementation, Country Partnership Strategy

Lesson Topics: 
Crosscutting Issues/Themes: Harmonization
Project Management: Project management",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/kazakhstan-countercylical-support-loan
Investment Climate Improvement Program: Validation of Completion Report,Kyrgyz Republic,Finance,20-10-15,"The lessons presented in the PCR (program completion report) and summarized in this validation are suitable. First, implementation of institutional reforms is more effective and efficient when there is a detailed blueprint with measurable indicators, and implementation arrangements are in place. Second, to attract investments, Kyrgyz Republic firms should also strengthen their productive capabilities and improve their competitiveness. Third, the significant changes in the methodology of the 2015 Doing Business report have negatively affected the Kyrgyz Republic's overall position in the ranking, making it difficult to measure achievements against the program's initial target. However, this validation notes that the Global Competitiveness Report can provide a good alternative source of information on the country's overall competitiveness. And last, the PCR indicated that the report's usefulness lies more in monitoring the country's performance over time rather than measuring progress against other economies. This validation adds the lesson that extensive dialogue is needed, particularly for reforms that meet resistance, to facilitate better cooperation and implementation.
project cycle stage: Concept, Design, Implementation, Operation",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/kyrgyz-republic-investment-climate-improvement-program
Kyrgyz Republic: Community-Based Early Childhood Development Project,Kyrgyz Republic,Health,01-12-11,"1. To be useful during project performance reporting and outcome and impact determination at project completion, country-specific definitions of data and monitoring variables established during project preparation needs to be consistent with international conventions. This is important for new and innovative projects or when variables are linked with global goals and programs like the millenium development goals, just like in the Community-Based Early Childhood Development Project in Kyrgyz Republic. [Main text, paras. 25, 26]

project cycle stage: Design, Implementation, Completion

Lesson Topics: 
Monitoring & Evaluation: Data collection and management
Monitoring & Evaluation: Monitoring and evaluation
Monitoring & Evaluation: Post-evaluation
Monitoring & Evaluation: Reporting
Project Design: Project design",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/kyrgyz-republic-community-based-early-childhood-development-project
Kyrgyz Republic: Community-Based Infrastructure Services Sector Project,Kyrgyz Republic,"Agriculture, Natural Resources, and Rural Development, Health, Transport, Water and Other Urban Infrastructure and Services",01-11-11,"1. There are clear benefits to involving ADB resident missions in project supervision.These include closer (hands-on) involvement and better understanding of the local environment. In the case of the Community-Based Infrastructure Services Sector Project in Kyrgyz Republic, significant disbursement delays were reported prior to 2005. The situation improved after the Kyrgyz resident mission began screening withdrawal applications. In 2007, ADB transferred responsibility for project administration from ADB headquarters to the resident mission. This resulted in stronger coordination with the executing agency and improved project administration. [PVR Main text, paras. 19, 24; see also PCR Main text, para. 64]

project cycle stage: Implementation

Lesson Topics: 
Project Management: Project supervision
Other: Resident Mission

2. To adequately apprise ADB of the severity of project problems, projects may require (i) in-depth analysis by missions, and (ii) a established mechanism for consultants to prepare realistic reports to project management units (PMUs) and ADB. In the case of the Community-Based Infrastructure Services Sector Project in the Kyrgyz Republic, project documents revealed that in the early years of the project, the PMU or consultants did not adequately apprise review missions on the seriousness of the project's problems (e.g., 45 subprojects had unsatisfactory performance due to problems relating mainly to poor design, construction, and operation and maintenance). [PVR Main text, para. 24; see also PCR Main text, para. 24]

project cycle stage: Implementation

Lesson Topics: 
Monitoring & Evaluation: Monitoring and evaluation
Monitoring & Evaluation: Reporting
Project Management: Project management",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/kyrgyz-republic-community-based-infrastructure-services-sector-project
Kyrgyz Republic: Emergency Rehabilitation Project [Loan 2045-KGZ],Kyrgyz Republic,"Agriculture, Natural Resources, and Rural Development, Education, Energy, Transport",31-12-10,"1. Emergency projects such as this one tend to be difficult to administer and implement and difficult for ADB to properly guide and oversee. This is because speed is of the essence to restore normal activity, and subprojects tend to be spread over large geographical areas. As such, ADB has to depend not only on review mission diligence but also on consultants and the government agencies involved. ADB's procedures, while fully adequate for non-emergency projects, tend to slow the implementation of emergency projects such as this one, so due diligence is sometimes truncated. As a result, subprojects were undertaken that do not meet requirements or necessary approvals. The social infrastructure projects under this project are cases in point. Prior to due diligence approval, works were undertaken and retro-financed after due diligence approval. Also, three of the new schools, while probably needed, did not meet subproject selection criteria. ADB may wish to review its procedures for such projects so that such compromising activities can be avoided. [Main text, page 9, section E(ii)]

project cycle stage: Implementation, Country Partnership Strategy

Lesson Topics: 


2. Taking into account issues related to sustainability, it is apparent that the project outcomes can be sustained if the government allocates adequate funds and resources for operation and maintenance based on a rigorous and transparent planning regime. [Main text, page 9, section E(ii)]

project cycle stage: Implementation, Completion Operation

Lesson Topics: 
Crosscutting Issues/Themes: Sustainability
Project Management: Operation and maintenance",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/kyrgyz-republic-emergency-rehabilitation-project-loan-2045-kgz
Basic Education Sector Development Program: Validation of Completion Report,Lao PDR,Education,24-12-15,"Three important lessons were identified in the PCR (program completion report) and this validation acknowledges them as important. In particular, taking a sector-wide approach to sector development with implementation support that is closely linked to and complements policy reform is important. It is clearly essential to ensure that there is close alignment of the content of the RRP (report and recommendation of the President) and the explicit outcomes and outputs in the DMF (design and monitoring framework). This validation notes that there were a number of inconsistencies in the RRP.
project cycle stage: Concept, Implementation

There was clearly strong coordination and strategic dialogue among all stakeholders in this program. This appears to have been a strong feature of the BESDP (Basic Education Sector Development Program) implementation effort with the executing agency, consultants, and ADB freely interacting and discussing issues that allowed some recovery from initial delays.
project cycle stage: Implementation

There was value gained by engaging MOES (Ministry of Education and Sports) units as implementing partners to help build institutional capacity and ensure sustainability at post-project. This is often discussed in the design of development aid programs but is rarely evident in the final implementation. In this program, the careful identification of responsibilities and division of labor, clear unit and individual accountability, and sustained monitoring were critical to its success.
project cycle stage: Design, Implementation, Operation

It is essential that the DMF (design and monitoring framework) in the RRP (report and recommendation of the President) accurately presents the outcomes, outputs, and indicators that will be used to evaluate the performance of the program. Monitoring systems should be specified in the RRP and established at implementation and that responsible staff are identified at central and local levels for monitoring key activities.
project cycle stage: Concept, Implementation, Operation",Validation of Project/Program Completion Report,Successful/Generally successful,http://wcm.adb.org/documents/lao-people-s-democratic-republic-basic-education-sector-development-program
Lao People's Democratic Republic: Greater Mekong Subregion: Northern Economic Corridor Project,Lao PDR,Transport,17-12-12,"For regional projects, all parties should agree on uniform standards covering, in this case, vehicular movements across international boundaries. Both Thailand and the PRC have higher legal axle load limits than the Lao PDR. This creates enforcement issues on permissible axle load limits and should have been resolved early on in project preparation. [Main text, para. 28]

project cycle stage: Implementation, Operation

Lesson Topics: 
Sector Related Issues: Roading
Sector Related Issues: Transport planning",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/lao-people-s-democratic-republic-greater-mekong-subregion-northern-economic-corridor-proje
Lao People's Democratic Republic: Banking Sector Reform Program,Lao PDR,Finance,31-10-11,"1. To improve the success of policy reform interventions, there is a need to ensure that executing and implementing institutions have adequate capacities in terms of staff and skills to supervise the implementation and operationalization of the reforms. For example, the Bank of the Lao People's Democratic Republic (PDR) under the Banking Sector Reform Program in Lao PDR could have rigorously supervised and controlled the banking system had it acquired adequate capacity to do so. Its lack of capacity still partly explain the continuing weak financial positions and nonperforming loans of state-owned commercial banks in Lao PDR. [Main text, paras. 14, 19]

project cycle stage: Implementation

Lesson Topics: 
Capacity Development: Capacity building
Capacity Development: Capacity development",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/lao-peoples-democratic-republic-banking-sector-reform-program
Maldives: Tsunami Emergency Assistance Project,Maldives,"Agriculture, Natural Resources, and Rural Development, Energy, Public Sector Management",27-12-12,"A lesson identified from this project is the need for ADB to focus more on sectors in which it has substantial experience, from which it can draw from during the relatively fast pace of processing and implementing an emergency project. Also, given limited resources, sector selectivity is important to ensure a significant impact. Moreover, emergency project designs should likewise incorporate provisions for operation and maintenance of project facilities to ensure their sustainability. [Main text, para. 30]

project cycle stage: Country Partnership Strategy

Lesson Topics: 
Methodologies/Approaches: Sectoral approach
Methodologies/Approaches: Targeting",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/maldives-tsunami-emergency-assistance-project
Customs Modernization Project: Validation of Completion Report,Mongolia,Industry and Trade,10-02-15,"The PCR (project completion report) identified a few important lessons from the project. Reengineering of business processes should be aligned with international standards to maximize harmonization of customs procedures across borders and to facilitate international trade. The setting up of task forces comprising experienced staff from the executing and implementing agencies and from other pertinent agencies proved effective in reengineering the business processes. Proactive engagement with the private sector, particularly with the trading community, helps ensure buy-in of the reengineered business processes and user-friendliness of the system. This validation holds similar views with these lessons and has no other lesson to offer.
project cycle stage: Implementation, Operation",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/mongolia-customs-modernization-project
